URL,Title,Author,Number of reviews,Number of ratings,Average rating,Pages,Publish year,Series,Genres,Awards,Places,minmax_norm_ratings,mean_norm_ratings
https://www.goodreads.com//book/show/337116.The_Difference_Engine,The Difference Engine,William Gibson,1104,19945,3.45,429,1992,0,"Science Fiction, Steampunk, Science Fiction",3.0,"London Bridge, London, England, London, England",5.35,-0.47
https://www.goodreads.com//book/show/33841.Against_the_Fall_of_Night,Against the Fall of Night,Arthur C. Clarke,158,4043,3.99,208,2003,0,"Science Fiction, Fiction, Science Fiction Fantasy",,,6.97,1.15
https://www.goodreads.com//book/show/16200.Ella_Minnow_Pea,Ella Minnow Pea: A Novel in Letters,Mark Dunn,5583,30849,3.88,208,2002,0,"Fiction, Humor, Fantasy",1.0,,6.64,0.82
https://www.goodreads.com//book/show/834670.Glory_Season,Glory Season,David Brin,132,3282,3.74,772,1994,0,"Science Fiction, Fiction, Fantasy",3.0,,6.22,0.4
https://www.goodreads.com//book/show/17165934-game-slaves,Game Slaves,Gard Skinner,73,253,3.65,336,2014,0,"Science Fiction, Young Adult, Fiction",,,5.95,0.13
https://www.goodreads.com//book/show/64701.The_Family_Tree,The Family Tree,Sheri S. Tepper,203,2890,4.01,496,1998,0,"Fantasy, Science Fiction, Fiction",,,7.03,1.21
https://www.goodreads.com//book/show/2744237-daughters-of-the-north,Daughters of the North,Sarah Hall,511,3641,3.4,210,2008,0,"Fiction, Science Fiction, Dystopia",4.0,,5.2,-0.62
https://www.goodreads.com//book/show/13631837-whispers-in-autumn,Whispers in Autumn,Trisha Leigh,368,2410,3.87,418,2012,1,"Young Adult, Science Fiction, Dystopia",,,6.61,0.79
https://www.goodreads.com//book/show/13013051-tortured,Tortured,Caragh M. O'Brien,332,4683,3.83,32,2011,1,"Young Adult, Science Fiction, Dystopia",,,6.49,0.67
https://www.goodreads.com//book/show/13451182-arena-one,Arena One: Slaverunners,Morgan Rice,695,5854,3.37,300,2012,1,"Science Fiction, Dystopia, Young Adult",,,5.11,-0.71
