URL,Title,Author,Number of reviews,Number of ratings,Average rating,Pages,Publish year,Series,Genres,Awards,Places
https://www.goodreads.com//book/show/11021735-the-last-prophet,The Last Prophet,Jeff W. Horton,12,106,4.01,300,2011,FALSE,"Christian, Fiction, Christian Fiction",,
https://www.goodreads.com//book/show/22456265-their-border-lands-freedom,Their Border Lands Freedom,Marla Monroe,3,101,4.21,174,2014,TRUE,"Erotica, Menage, Adult Fiction",,
https://www.goodreads.com//book/show/6101718-the-magicians,The Magicians,Lev Grossman,22463,238848,3.52,402,2009,TRUE,"Fantasy, Fiction, Fantasy","ALA Alex Award (2010), The Kitschies Nominee for Red Tentacle (Novel) (2009), Goodreads Choice Award Nominee for Fiction & Fantasy (2009)","New York State, Brakebills College for Magical Pedagogy"
https://www.goodreads.com//book/show/12372058-rex-rising,Rex Rising,Chrystalla Thoma,81,805,3.59,227,2011,TRUE,"Science Fiction, Young Adult, Fantasy",,
https://www.goodreads.com//book/show/10673576-the-postmortal,The Postmortal,Drew Magary,1335,10847,3.79,369,2011,FALSE,"Fiction, Science Fiction, Science Fiction","Arthur C. Clarke Award Nominee (2012), Philip K. Dick Award Nominee (2012)",
https://www.goodreads.com//book/show/15733233-i-hope-you-find-me,I Hope You Find Me,Trish Marie Dawson,163,1307,3.82,243,2012,TRUE,"Apocalyptic, Post Apocalyptic, Science Fiction",Kindle Book Award Nominee for Suspense/Horror (Finalist) (2013),
https://www.goodreads.com//book/show/40698027-a-boy-and-his-dog-at-the-end-of-the-world,A Boy and His Dog at the End of the World,C.A. Fletcher,1575,8499,4.16,365,2019,FALSE,"Fiction, Science Fiction, Science Fiction",ALA Alex Award (2020),"Mingulay, Western Isles, Scotland"
https://www.goodreads.com//book/show/9302283-phantom-universe,Phantom Universe,Laura Kreitzer,79,457,3.78,228,2011,TRUE,"Science Fiction, Time Travel, Young Adult",,
https://www.goodreads.com//book/show/44175.Rash,Rash,Pete Hautman,535,3346,3.75,256,2006,FALSE,"Young Adult, Science Fiction, Science Fiction","Golden Duck Award for Young Adult (Hal Clement Award) (2007), Michigan Library Association Thumbs Up! Award (2007), Missouri Truman Readers Award Nominee (2009), Society of Midland Authors Award Nominee for Children's Fiction (2007)",Canada
https://www.goodreads.com//book/show/17733063-heresy,Heresy,Bryan  Murphy,2,8,3.63,21,2013,FALSE,"ERROR HERE!!!!!!!!!!, ERROR HERE!!!!!!!!!!, ERROR HERE!!!!!!!!!!",,
https://www.goodreads.com//book/show/18109771-the-fire-sermon,The Fire Sermon,Francesca Haig,1160,6560,3.61,384,2015,TRUE,"Fantasy, Young Adult, Science Fiction","Aurealis Award Nominee for Best Young Adult Novel (2015), David Gemmell Morningstar Award Nominee (2016), Norma K. Hemming Award Nominee (2016)",
https://www.goodreads.com//book/show/12754689-rapture,Rapture,Phillip W. Simpson,111,347,3.86,300,2011,TRUE,"Young Adult, Science Fiction, Dystopia",Sir Julius Vogel Award Nominee for Best Youth Novel (2012),
https://www.goodreads.com//book/show/18069760-linehan-saves,Linehan Saves,Bryan  Murphy,2,8,4.75,not known,2013,FALSE,"ERROR HERE!!!!!!!!!!, ERROR HERE!!!!!!!!!!, ERROR HERE!!!!!!!!!!",,
https://www.goodreads.com//book/show/1206358.Fearless,Fearless,Tim Lott,197,1233,3.84,267,2007,FALSE,"Young Adult, Science Fiction, Dystopia",Carnegie Medal Nominee (2008),
https://www.goodreads.com//book/show/337109.Paris_in_the_Twentieth_Century,Paris in the Twentieth Century,Jules Verne,232,2085,3.39,222,1997,FALSE,"Science Fiction, Classics, Fiction",,
https://www.goodreads.com//book/show/689855.Brother_in_the_Land,Brother in the Land,Robert Swindells,96,1128,3.95,151,2000,FALSE,"Young Adult, Apocalyptic, Post Apocalyptic","The Other Award (1984), Red House Children's Book Award (1985), Carnegie Medal Nominee (1984)",
https://www.goodreads.com//book/show/2643113-a-boy-and-his-dog-repent-harlequin-said-the-ticktockman,"A Boy and His Dog & ""Repent, Harlequin!"" said the Ticktockman",Harlan Ellison,25,593,4.12,not known,1987,FALSE,"Science Fiction, Fiction, Apocalyptic",,
https://www.goodreads.com//book/show/18341373-shadow-of-the-last-men,Shadow of the Last Men,J.M. Salyards,13,26,4.31,456,2013,TRUE,"Science Fiction, Dystopia, Science Fiction",,
https://www.goodreads.com//book/show/50776.The_Blithedale_Romance,The Blithedale Romance,Nathaniel Hawthorne,395,5148,3.36,204,2005,FALSE,"Classics, Fiction, Literature",,
https://www.goodreads.com//book/show/7719245-paranormalcy,Paranormalcy,Kiersten White,6146,95200,3.88,335,2010,TRUE,"Young Adult, Fantasy, Paranormal","Utah Book Award for Young Adult (2010), Whitney Award for Best Novel by a New Author (2010), Lincoln Award Nominee (2013)",
https://www.goodreads.com//book/show/27414369-flashfall,Flashfall,Jenny Moyer,261,1100,3.76,342,2016,TRUE,"Young Adult, Science Fiction, Science Fiction",,
https://www.goodreads.com//book/show/17855756-dust,Dust,Hugh Howey,4235,69307,4.25,458,2013,TRUE,"Science Fiction, Fiction, Science Fiction",Goodreads Choice Award Nominee for Science Fiction (2013),
https://www.goodreads.com//book/show/14759944-corpalism,Corpalism,Arun D. Ellis,105,297,3.36,778,2012,TRUE,"Science Fiction, Dystopia, Fiction",,
https://www.goodreads.com//book/show/195753.Some_Will_Not_Die,Some Will Not Die,Algis Budrys,15,229,3.46,224,2001,FALSE,"Science Fiction, Apocalyptic, Post Apocalyptic",,
https://www.goodreads.com//book/show/9825379-number-13,Number 13,M.G. Wells,82,185,4.15,196,2010,TRUE,"Fantasy, Adventure, Mystery",,
https://www.goodreads.com//book/show/15772644-night-of-the-purple-moon,Night of the Purple Moon,Scott Cramer,363,1944,3.73,186,2012,TRUE,"Young Adult, Science Fiction, Dystopia",,"Castine Island, Maine"
https://www.goodreads.com//book/show/22755233-embers,Embers,Karen Ann Hopkins,141,1193,3.87,357,2014,TRUE,"Fantasy, Young Adult, Fantasy",,
https://www.goodreads.com//book/show/25689074-stars-above,Stars Above,Marissa Meyer,8390,66817,4.19,369,2016,TRUE,"Young Adult, Fantasy, Science Fiction",,
https://www.goodreads.com//book/show/28362251-after-midnight,After Midnight,Santino Hassell,297,1523,3.89,not known,2011,FALSE,"Romance, M M Romance, Science Fiction",,
https://www.goodreads.com//book/show/43801769-highway-to-heartache,Highway to Heartache,David A. Simpson,53,288,4.57,351,2019,TRUE,"Horror, Horror, Zombies",,
https://www.goodreads.com//book/show/56571166-the-high-auction,"The High Auction (Wisdom Revolution, #1)",Misba,9,20,5,185,2021,FALSE,"Fantasy, Science Fiction Fantasy, Science Fiction",,
https://www.goodreads.com//book/show/73048.False_Dawn,False Dawn,Chelsea Quinn Yarbro,35,244,3.47,228,2001,FALSE,"Science Fiction, Apocalyptic, Post Apocalyptic",,
https://www.goodreads.com//book/show/12727768-open-minds,Open Minds,Susan Kaye Quinn,1105,9139,3.7,326,2011,TRUE,"Young Adult, Science Fiction, Dystopia",,
https://www.goodreads.com//book/show/42411390-zombie-road-v,Zombie Road V: Terror on the Two-Lane,David A. Simpson,7,50,4.78,394,2018,FALSE,"Horror, Zombies, ERROR HERE!!!!!!!!!!, ERROR HERE!!!!!!!!!!, ERROR HERE!!!!!!!!!!",,
https://www.goodreads.com//book/show/6277640-uglies-the-collector-s-set,"Uglies, The Collector's Set",Scott Westerfeld,258,7891,4.23,1680,2009,TRUE,"Young Adult, Science Fiction, Dystopia",,
https://www.goodreads.com//book/show/13490618-semper,Semper,Peter J. Dudley,12,101,4.1,196,2012,TRUE,"Science Fiction, Dystopia, Fantasy",,
https://www.goodreads.com//book/show/4837032-the-roar,The Roar,Emma Clayton,1056,9158,4.05,496,2009,TRUE,"Science Fiction, Young Adult, Science Fiction",Carnegie Medal Nominee (2009),
https://www.goodreads.com//book/show/16281043-the-shock,The Shock,Scott Nicholson,272,2685,3.56,319,2012,TRUE,"Horror, Apocalyptic, Post Apocalyptic",,
https://www.goodreads.com//book/show/22733729-the-long-way-to-a-small-angry-planet,"The Long Way to a Small, Angry Planet",Becky Chambers,12355,79516,4.15,518,2014,TRUE,"Science Fiction, Fiction, LGBT","Arthur C. Clarke Award Nominee (2016), Prix Julia Verlanger (2017), James Tiptree Jr. Award Nominee for Longlist (2015), Women's Prize for Fiction Nominee for Longlist (2016), The Kitschies Nominee for Golden Tentacle (Debut) (2014)",
https://www.goodreads.com//book/show/8258320-the-end-of-marking-time,The End of Marking Time,C.J. West,160,640,3.63,280,2010,FALSE,"Fiction, Science Fiction, Thriller",,
https://www.goodreads.com//book/show/351964.Glimmering,Glimmering,Elizabeth Hand,54,548,3.52,560,1998,FALSE,"Fantasy, Science Fiction, Fiction",Arthur C. Clarke Award Nominee (1998),
https://www.goodreads.com//book/show/13501974-exceptional,Exceptional,Jess Petosa,265,3855,3.76,not known,2012,TRUE,"Science Fiction, Dystopia, Young Adult",,
https://www.goodreads.com//book/show/15730577-the-blemished,The Blemished,Sarah Dalton,277,2204,3.62,328,2012,TRUE,"Science Fiction, Dystopia, Young Adult",,
https://www.goodreads.com//book/show/5762055-zazen,Zazen,Vanessa Veselka,241,1285,3.59,264,2011,FALSE,"Fiction, Science Fiction, Dystopia","Oregon Book Award Nominee for Fiction (Finalist) (2012), PEN/Robert W. Bingham Prize (2012)",
https://www.goodreads.com//book/show/17673246-the-echo,The Echo,Scott Nicholson,34,745,3.88,220,2013,TRUE,"Apocalyptic, Post Apocalyptic, Horror",,
https://www.goodreads.com//book/show/31554413-the-boy-on-the-bridge,The Boy on the Bridge,M.R. Carey,2677,19989,3.96,369,2017,TRUE,"Horror, Fiction, Science Fiction","British Fantasy Award Nominee for Best Horror Novel (the August Derleth Award) (2018), Goodreads Choice Award Nominee for Horror (2017)",
https://www.goodreads.com//book/show/3195878-hitler-the-cat-goes-west,Hitler the Cat Goes West,Robert G. Pielke,12,33,3.33,148,2000,FALSE,"Fiction, Science Fiction, Dystopia",,"Los Angeles, California"
https://www.goodreads.com//book/show/13419934-first-flight,"First Flight (The Dark Eagles, #1)",David R.  Smith,26,46,3.8,286,2012,FALSE,"Young Adult, ERROR HERE!!!!!!!!!!, ERROR HERE!!!!!!!!!!, ERROR HERE!!!!!!!!!!",,
https://www.goodreads.com//book/show/263459.Autumn,Autumn,David Moody,542,6483,3.67,288,2005,TRUE,"Horror, Horror, Zombies",,
https://www.goodreads.com//book/show/18635016-the-one,The One,Kiera Cass,29244,400859,4.19,323,2014,TRUE,"Young Adult, Romance, Science Fiction",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2014),Illèa
https://www.goodreads.com//book/show/35427101-tempus-unbound,Tempus Unbound,Janet E. Morris,13,102,4.13,238,2017,TRUE,"Fantasy, Fiction",,
https://www.goodreads.com//book/show/40304.The_Worthing_Saga,The Worthing Saga,Orson Scott Card,333,8578,3.85,463,1992,TRUE,"Science Fiction, Fiction, Fantasy","Analog Award Nominee for Best Short Story for ""Breaking the Game"" (1979)",
https://www.goodreads.com//book/show/7942230-the-matrix,The Matrix: Screenplay,Lana Wachowski,21,1111,4.2,220,2001,FALSE,"Media Tie In, Science Fiction, Science Fiction",,
https://www.goodreads.com//book/show/7883678-empty,Empty,Suzanne Weyn,648,4168,3.29,192,2010,FALSE,"Young Adult, Science Fiction, Dystopia",,"Sage Valley, New York"
https://www.goodreads.com//book/show/13450189-voyage-of-the-dead,Voyage of the Dead,David P. Forsyth,113,1119,3.74,286,2012,TRUE,"Horror, Zombies, Horror",,
https://www.goodreads.com//book/show/16148038-daynight,Daynight,Megan Thomason,205,1444,3.66,314,2012,TRUE,"Science Fiction, Dystopia, Young Adult","Kindle Book Award Nominee for Young Adult (Semi-Finalist) (2013), Foreword INDIES Book of the Year Award Nominee for Young Adult Fiction (2012)",
https://www.goodreads.com//book/show/13253276-through-the-ever-night,Through the Ever Night,Veronica Rossi,4402,70455,4.13,341,2013,TRUE,"Young Adult, Science Fiction, Dystopia",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013),
https://www.goodreads.com//book/show/17457124-red-hill,Red Hill,Jamie McGuire,1944,12471,3.89,368,2013,TRUE,"Horror, Zombies, Horror",Goodreads Choice Award Nominee for Horror (2013),
https://www.goodreads.com//book/show/17797261-dominion,Dominion,C.J. Sansom,1248,10801,3.83,608,2014,FALSE,"Historical, Historical Fiction, Fiction",Sidewise Award for Long Form (2012),"London, England"
https://www.goodreads.com//book/show/22288.Haunted,Haunted,Chuck Palahniuk,4357,96463,3.59,419,2006,FALSE,"Fiction, Horror, Short Stories",,United States of America
https://www.goodreads.com//book/show/3629010-house-of-stairs,House of Stairs,William Sleator,593,4256,3.85,166,1974,FALSE,"Young Adult, Science Fiction, Fiction",Dorothy Canfield Fisher Children's Book Award Nominee (1976),
https://www.goodreads.com//book/show/25843439-the-atlantis-plague,The Atlantis Plague,A.G. Riddle,1225,32020,3.94,432,2015,TRUE,"Science Fiction, Fiction, Thriller",,
https://www.goodreads.com//book/show/24765.Specials,Specials,Scott Westerfeld,7987,171784,3.76,384,2006,TRUE,"Young Adult, Science Fiction, Dystopia",,
https://www.goodreads.com//book/show/41014635-departure,Departure,A.G. Riddle,1453,17330,3.84,304,2015,FALSE,"Science Fiction, Fiction, Science Fiction",,
https://www.goodreads.com//book/show/979747.Wolf_and_Iron,Wolf and Iron,Gordon R. Dickson,111,1621,3.93,448,1993,FALSE,"Science Fiction, Fiction, Apocalyptic",,
https://www.goodreads.com//book/show/613268.The_God_Eaters,The God Eaters,Jesse Hajicek,284,3035,4.1,452,2006,FALSE,"Fantasy, Romance, M M Romance",,
https://www.goodreads.com//book/show/19418277-the-girl-with-all-the-gifts,The Girl With All the Gifts: Extended Free Preview,M.R. Carey,384,2994,3.99,not known,2014,TRUE,"Fiction, Horror, Science Fiction",,
https://www.goodreads.com//book/show/38117618-dream-dancer,Dream Dancer,Janet E. Morris,21,214,3.96,327,2018,TRUE,"Science Fiction, Fantasy, Fiction",,
https://www.goodreads.com//book/show/263985.The_Possibility_of_an_Island,The Possibility of an Island,Michel Houellebecq,718,12169,3.81,352,2007,FALSE,"Fiction, Cultural, France","Prix Interallié (2005), Tähtivaeltaja Award Nominee (2007)",
https://www.goodreads.com//book/show/68146.The_Swarm,The Swarm,Frank Schätzing,1055,16855,4.06,881,2006,FALSE,"Science Fiction, Thriller, Fiction","Deutscher Science Fiction Preis for Bester Roman (2005), Deutscher Krimi Preis for 2. Platz National (2005), Schlegel-Tieck Prize for Sally-Ann Spencer (2007), Corine Internationaler Buchpreis for Belletristik (2004)",Kiel (Hauptstadt)
https://www.goodreads.com//book/show/43720168-winter-world,Winter World,A.G. Riddle,1120,18875,4.09,418,2019,TRUE,"Science Fiction, Fiction, Thriller",,
https://www.goodreads.com//book/show/8856041-blueprints-of-the-afterlife,Blueprints of the Afterlife,Ryan Boudinot,380,2192,3.7,416,2012,FALSE,"Science Fiction, Fiction, Science Fiction",Philip K. Dick Award Nominee (2013),
https://www.goodreads.com//book/show/12158877-the-rook,The Rook,Daniel O'Malley,6778,49939,4.11,512,2012,TRUE,"Fantasy, Fantasy, Urban Fantasy","Aurealis Award for Science Fiction Novel (2012), Goodreads Choice Award Nominee for Paranormal Fantasy (2012), Green Mountain Book Award Nominee (2016)","London, England"
https://www.goodreads.com//book/show/17306293-shift,Shift,Hugh Howey,4477,72965,4.12,570,2013,TRUE,"Science Fiction, Fiction, Science Fiction",,
https://www.goodreads.com//book/show/12157365-unraveling,Unraveling,Elizabeth Norris,1924,18464,3.83,464,2012,TRUE,"Young Adult, Science Fiction, Fantasy",,"San Diego, California"
https://www.goodreads.com//book/show/1030207.Children_of_the_Dust,Children of the Dust,Louise Lawrence,174,1808,3.99,176,2002,FALSE,"Science Fiction, Young Adult, Fiction",,
https://www.goodreads.com//book/show/7793307-ex-heroes,Ex-Heroes,Peter Clines,1441,15005,3.86,274,2010,TRUE,"Horror, Zombies, Horror",,
https://www.goodreads.com//book/show/1848.Wild_Swans,Wild Swans: Three Daughters of China,Jung Chang,5810,94390,4.25,562,2003,FALSE,"Nonfiction, History, Cultural","NCR Book Award (1992), British Book Award (1993)",China
https://www.goodreads.com//book/show/27405160-good-morning-midnight,"Good Morning, Midnight",Lily Brooks-Dalton,1881,10866,3.92,272,2016,FALSE,"Fiction, Science Fiction, Science Fiction",,Arctic Circle
https://www.goodreads.com//book/show/2723.The_Years_of_Rice_and_Salt,The Years of Rice and Salt,Kim Stanley Robinson,1275,11460,3.74,763,2003,FALSE,"Fiction, Science Fiction, Science Fiction","Hugo Award Nominee for Best Novel (2003), Locus Award for Best Science Fiction Novel (2003), Arthur C. Clarke Award Nominee (2003)",France
https://www.goodreads.com//book/show/768878.Abarat,Abarat,Clive Barker,1414,25862,4.09,393,2003,TRUE,"Fantasy, Young Adult, Fiction",Borders Original Voices Award for YA or Independent Reader (2002),
https://www.goodreads.com//book/show/186103.Peeps,Peeps,Scott Westerfeld,1995,24005,3.77,312,2006,TRUE,"Young Adult, Paranormal, Vampires","Locus Award Nominee for Best Young Adult Book (2006), Georgia Peach Book Award Nominee for Honor book (2007), Ditmar Award Nominee for Best Novel (2006), Rhode Island Teen Book Award Nominee (2008), Aurealis Award Nominee for Young Adult Novel (2005), Michigan Library Association Thumbs Up! Award Nominee (2006), Lincoln Award Nominee (2009), Andre Norton Award Nominee (2006)",New York State
https://www.goodreads.com//book/show/18423.The_Left_Hand_of_Darkness,The Left Hand of Darkness,Ursula K. Le Guin,9503,124284,4.08,304,2000,TRUE,"Science Fiction, Fiction, Fantasy","Hugo Award for Best Novel (1970), Nebula Award for Best Novel (1969), James Tiptree Jr. Award for Retrospective (1995), Margaret A. Edwards Award (2004)",
https://www.goodreads.com//book/show/22284.Diary,Diary,Chuck Palahniuk,2512,74427,3.61,262,2004,FALSE,"Fiction, Horror, Contemporary",,United States of America
https://www.goodreads.com//book/show/76740.The_Demolished_Man,The Demolished Man,Alfred Bester,1321,28683,3.99,250,1999,FALSE,"Science Fiction, Fiction, Classics","Hugo Award for Best Novel (1953), International Fantasy Award Nominee for Fiction (1954)",
https://www.goodreads.com//book/show/6487308-fallen,Fallen,Lauren Kate,19862,507332,3.73,452,2009,TRUE,"Young Adult, Fantasy, Romance",,"Savannah, Georgia"
https://www.goodreads.com//book/show/23173254-the-neptune-challenge,The Neptune Challenge,Polly Holyoke,83,1065,4.46,not known,2015,TRUE,"Science Fiction, Science Fiction, Dystopia",,
https://www.goodreads.com//book/show/2167112.Last_Light,Last Light,Alex Scarrow,165,1696,3.91,402,2007,TRUE,"Fiction, Thriller, Apocalyptic",,
https://www.goodreads.com//book/show/22576.Prayers_for_the_Assassin,Prayers for the Assassin,Robert Ferrigno,120,992,3.76,458,2006,TRUE,"Fiction, Thriller, Science Fiction",,
https://www.goodreads.com//book/show/57070.Cloud_s_Rider,Cloud's Rider,C.J. Cherryh,24,808,3.92,464,1997,TRUE,"Science Fiction, Fantasy, Fiction",,
https://www.goodreads.com//book/show/6845861-lights-out,Lights Out,David Crawford,138,1793,4.09,426,2005,FALSE,"Apocalyptic, Post Apocalyptic, Fiction",,
https://www.goodreads.com//book/show/24807186-wolf-by-wolf,Wolf by Wolf,Ryan Graudin,3766,18401,4.22,388,2015,TRUE,"Historical, Historical Fiction, Young Adult","South Carolina Book Award Nominee for Young Adult (2018), Rhode Island Teen Book Award Nominee (2018), Milwaukee County Teen Book Award Nominee (2017), Amelia Elizabeth Walden Award Nominee (2016), Lincoln Award Nominee (2019)",
https://www.goodreads.com//book/show/18830.London_Fields,London Fields,Martin Amis,747,10725,3.71,526,2003,FALSE,"Fiction, Mystery, Novels",,"London, England"
https://www.goodreads.com//book/show/394986.Nature_s_End,Nature's End,Whitley Strieber,60,763,3.87,412,1986,FALSE,"Science Fiction, Fiction, Science Fiction",,
https://www.goodreads.com//book/show/13645264-isolation,Isolation,Dan Wells,318,3748,3.93,75,2012,TRUE,"Young Adult, Science Fiction, Dystopia",,
https://www.goodreads.com//book/show/6773432-timeriders,TimeRiders,Alex Scarrow,990,11430,3.82,425,2010,TRUE,"Young Adult, Science Fiction, Science Fiction",Carnegie Medal Nominee (2011),
https://www.goodreads.com//book/show/15567.The_Wishsong_of_Shannara,The Wishsong of Shannara,Terry Brooks,781,52224,3.95,512,1999,TRUE,"Fantasy, Fiction, Fantasy",,
https://www.goodreads.com//book/show/10762469-the-leftovers,The Leftovers,Tom Perrotta,5801,43608,3.41,355,2011,FALSE,"Fiction, Fantasy, Science Fiction","Premi Ictineu for Millor novel·la traduïda (2015), Goodreads Choice Award Nominee for Fiction (2011)",
https://www.goodreads.com//book/show/10558758-forty-days-at-kamas,Forty Days at Kamas,Preston Fleming,153,993,3.93,336,2013,TRUE,"Science Fiction, Dystopia, Fiction",,"Kamas, Utah"
